old_ID	ID	Gender/Hispanic/Ethnicity	"CG = Caltech Grads, CP = Caltech Postdocs, CU = Caltech Undergrads, NO = Non-caltechers, NS = Caltech Staffs, NW = Caltech Wifes"	Caltech_student
101	178	FHW	NO	no
102	179	FNM	CU	yes
103	180	FNA	CG	yes
104	181	FNA	CU	yes
105	182	MNA	NO	no
106	183	FHW	NO	no
107	184	MNA	CU	yes
109	185	FNA	NO	no
110	186	MNA	CG	yes
113	187	FNW	NS	no
114	188	FNA	NO	no
115	189	MHA	CP	yes
116	190	FNA	CG	yes
117	191	MNA	CG	yes
120	192	MNW	CG	yes
121	193	MNW	CV	no
122	194	FHW	NS	no
123	195	FHW	NO	no
124	196	FHW	NW	no
125	197	MNW	CP	yes
126	198	FNA	CP	yes
130	199	FNW	CP	yes
131	200	MNW	CG	yes
132	201	MNW	CP	yes
133	202	MHW	CG	yes
134	203	MNA	CG	yes
135	204	FNB	NO	no
136	205	MNW	NS	no
137	206	MNB	NO	no
138	207	FNW	NW	no
301	208	FHM	NS	no
303	209	FNW	NS	no
304	210	MNA	CV	no
305	211	FHW	NS	no
306	212	FNW	CG	yes
307	213	FNA	NW	no
308	214	FNA	NW	no
309	215	MNA	CG	yes
310	216	FNW	NW	no
311	217	MNW	CP	yes
312	218	MNW	CG	yes
313	219	FNW	NW	no
314	220	FNA	NW	no
315	221	FNW	NW	no
316	222	MNW	CP	yes
317	223	FNW	NW	no
318	224	FNW	NW	no
319	225	FNW	NW	no
320	226	FNA	NW	no
321	227	FNA	CP	yes
322	228	FNA	CP	yes
325	229	MNA	CG	yes
326	230	MNA	CG	yes
327	231	MNA	CG	yes
328	232	FNA	CU	yes
329	233	MNA	CG	yes
330	234	FNW	CG	yes
331	235	FNW	CG	yes
332	236	FNW	NW	no
333	237	FNA	CU	yes
