ID,BIS11_1,BIS11_2,BIS11_3,BIS11_4,BIS11_5,BIS11_6,BIS11_7,BIS11_8,BIS11_9,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
178,4,1,2,2,2,1,4,3,3,2,1,4,4,1,4,1,1,1,1,4,1,2,2,1,2,1,2,1,2,4
179,2,3,1,4,3,3,2,3,2,2,1,2,2,1,4,3,2,3,3,2,1,3,2,2,3,4,2,2,3,3
180,3,2,3,3,2,3,4,3,2,2,2,3,2,2,3,2,3,1,4,2,2,2,2,2,3,2,3,2,3,4
181,3,2,2,3,2,4,4,3,2,3,2,3,3,2,3,1,2,2,3,2,1,2,2,2,1,3,3,2,3,2
182,4,2,3,1,1,2,4,2,1,2,2,4,3,1,2,3,3,1,2,2,2,1,3,2,1,1,2,1,2,3
183,4,2,4,2,1,1,3,4,3,4,1,3,4,2,4,1,1,1,2,4,1,1,1,4,1,2,4,3,4,3
184,2,2,2,2,3,3,2,2,1,3,3,3,2,2,1,1,1,3,2,3,3,1,1,2,2,3,3,3,1,2
185,3,3,1,3,3,1,4,3,2,3,2,3,3,2,2,2,2,1,3,3,1,3,3,2,2,2,2,1,2,3
186,3,2,3,2,1,2,3,3,3,4,2,3,3,2,2,2,2,3,2,3,3,2,3,2,1,2,2,2,2,3
187,3,2,3,4,2,2,3,2,2,2,1,2,4,1,4,1,,,1,2,1,2,2,1,3,4,3,1,4,4
188,4,2,2,1,1,3,4,3,2,4,2,3,3,1,3,3,2,2,2,2,1,3,2,1,2,4,2,3,2,3
189,3,1,4,3,3,2,4,2,2,2,1,4,4,3,4,3,3,1,3,4,4,1,4,1,4,1,1,4,4,4
190,2,2,3,2,1,4,1,3,3,3,3,4,3,1,4,1,2,2,2,3,2,2,1,1,1,4,4,4,4,2
191,3,1,3,3,3,2,4,4,3,4,1,4,2,1,4,2,1,1,1,4,1,1,2,3,1,,3,1,3,4
192,2,2,3,3,1,2,3,3,3,2,1,3,3,2,4,2,2,1,2,3,2,2,1,2,1,3,3,2,3,3
193,4,2,4,4,1,2,3,4,4,4,1,4,3,2,4,2,2,1,2,4,1,1,3,2,1,4,3,3,4,4
