ID,BIS15_1,BIS15_2,BIS15_3,BIS15_4,BIS15_5,BIS15_6,BIS15_7,BIS15_8,BIS15_9,BIS15_10,BIS15_11,BIS15_12,BIS15_13,BIS15_14,BIS15_15
113,3,1,2,3,3,2,3,3,2,2,2,2,3,2,3
114,3,2,1,3,3,1,3,4,2,3,1,2,2,2,4
115,3,2,2,4,2,1,2,3,1,2,2,3,3,1,3
116,4,2,1,4,3,2,4,4,2,2,1,3,2,2,4
117,4,1,2,3,3,1,3,3,2,2,2,1,2,1,3
118,4,2,1,4,3,2,4,2,2,2,1,3,1,2,4
119,3,2,2,2,3,3,3,3,2,2,1,2,3,4,3
120,3,2,2,2,3,3,2,1,2,2,2,2,3,3,3
121,4,1,1,3,3,2,3,4,1,2,2,2,2,2,4
122,4,1,1,4,3,3,4,4,1,2,1,1,2,1,4
123,4,1,1,4,4,1,4,3,1,2,2,1,1,2,3
124,4,2,1,4,4,3,4,4,1,2,2,2,1,1,4
125,4,1,1,3,4,1,4,4,2,2,1,2,3,1,4
126,3,2,1,4,3,1,4,3,1,2,1,2,2,1,3
127,1,3,1,3,2,3,2,1,2,3,1,3,3,1,1
128,3,2,2,3,3,2,2,3,3,2,2,2,1,2,3
129,2,1,1,3,3,2,3,2,3,2,1,2,1,1,3
130,2,3,3,2,1,3,2,3,3,4,4,4,3,4,2
131,3,1,2,4,3,1,3,3,2,3,1,2,1,2,3
132,3,1,2,3,4,1,3,4,1,2,2,2,2,3,4
133,3,2,1,3,2,1,4,2,1,4,1,3,3,2,2
134,3,3,2,3,3,2,2,2,1,2,1,2,1,1,3
135,2,1,2,3,2,2,3,2,1,2,2,2,3,2,2
136,4,2,1,4,3,1,4,2,2,3,1,2,3,2,4
137,4,1,1,4,2,1,3,2,2,2,1,2,1,3,2
138,4,1,1,3,3,2,4,4,2,2,1,2,2,2,4
139,3,2,1,3,3,1,3,3,1,3,1,3,2,1,3
140,3,2,2,3,3,3,3,2,3,3,2,3,2,2,2
141,3,1,1,3,2,2,3,3,2,2,2,1,3,1,4
142,3,1,3,2,3,3,3,2,1,2,2,1,2,2,2
143,2,3,2,3,1,2,3,3,2,3,2,2,1,2,3
144,3,2,1,3,2,2,3,3,1,3,1,3,4,1,4
145,3,1,3,3,1,1,2,3,2,1,2,2,2,2,3
146,4,2,2,4,3,3,4,4,2,2,1,2,3,2,3
147,2,2,1,3,3,1,3,3,3,3,2,2,3,1,3
148,2,2,2,2,2,2,2,2,3,3,1,3,3,2,2
149,2,1,2,2,1,2,3,1,2,3,2,2,1,3,1
150,3,2,2,3,1,2,3,2,2,2,1,2,1,1,2
151,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3
152,3,3,1,2,2,2,2,3,3,3,1,2,1,1,2
153,2,3,2,3,2,3,2,2,2,3,1,3,3,2,3
154,3,2,2,3,3,2,2,3,3,2,2,2,2,1,3
155,3,2,1,3,2,2,3,1,2,2,3,2,1,1,2
156,4,2,1,3,3,1,4,3,1,2,2,1,1,1,4
157,4,2,2,4,3,1,3,3,1,2,2,2,3,2,3
158,3,2,1,3,3,1,3,3,1,2,3,2,2,1,3
159,3,1,1,3,2,1,2,2,1,2,1,2,2,1,3
160,3,1,2,2,2,3,3,2,2,1,2,1,2,2,2
161,3,2,2,3,3,2,3,2,1,1,3,2,1,2,2
162,2,1,2,3,3,3,4,4,1,3,2,2,2,3,4
163,2,3,3,2,1,2,3,2,1,3,3,3,3,3,2
164,4,2,1,3,3,1,3,3,3,3,1,2,2,2,3
165,2,2,1,4,3,1,3,3,1,2,1,2,3,1,3
166,2,3,2,3,1,2,4,3,3,4,2,3,3,2,2
167,2,4,2,3,1,2,4,1,2,2,2,3,1,4,4
168,4,2,1,4,4,2,4,4,2,2,3,2,3,1,4
169,3,2,3,3,3,1,3,2,1,3,2,3,1,1,1
170,2,3,2,3,1,2,3,1,2,3,3,3,3,2,2
171,4,1,1,4,3,1,4,4,2,2,1,3,2,1,4
172,3,3,2,2,2,1,4,2,2,3,2,4,3,3,2
173,4,1,2,2,3,2,3,3,1,2,2,2,1,2,3
174,4,1,1,3,3,1,4,4,1,3,2,3,1,2,4
175,3,2,2,3,2,2,3,3,2,2,2,2,2,3,3
176,3,2,2,3,2,2,3,3,2,3,2,3,3,2,3
177,2,2,1,3,3,2,3,2,1,2,1,2,2,2,2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
