ID,TICS_1,TICS_2,TICS_3,TICS_4,TICS_5,TICS_6,TICS_7,TICS_8,TICS_9,TICS_10,TICS_11,TICS_12,TICS_13,TICS_14,TICS_15,TICS_16,TICS_17,TICS_18,TICS_19,TICS_20,TICS_21,TICS_22,TICS_23,TICS_24,TICS_25,TICS_26,TICS_27,TICS_28,TICS_29,TICS_30,TICS_31,TICS_32,TICS_33,TICS_34,TICS_35,TICS_36,TICS_37,TICS_38,TICS_39,TICS_40,TICS_41,TICS_42,TICS_43,TICS_44,TICS_45,TICS_46,TICS_47,TICS_48,TICS_49,TICS_50,TICS_51,TICS_52,TICS_53,TICS_54,TICS_55,TICS_56,TICS_57
113,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,3,2,2,3,2,3,3,2,2,2,2,2,3,2,3,3,3,3,2,2,3,2
114,2,2,2,3,3,1,2,2,2,3,3,3,2,2,1,2,2,1,2,2,3,2,3,1,3,2,3,1,1,1,1,3,1,1,2,2,1,2,2,3,2,2,2,4,1,1,3,2,1,3,2,1,1,2,2,1,2
115,2,3,2,3,4,3,2,2,2,3,4,3,3,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,3,2,3,3,1,2,2,2,2,2,1,3,2,3,1,1,3,3,4,2,1,1,2,2,2,2,1,4,2
116,5,3,3,3,1,2,3,3,4,2,4,3,2,2,2,4,3,1,4,4,1,5,2,3,4,1,5,2,1,4,3,4,1,4,4,4,3,4,1,1,2,2,3,4,2,3,4,2,2,4,1,2,3,3,3,1,1
117,3,3,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,3,1,1,1,1,1,1,1
118,2,2,1,3,1,2,4,3,1,2,1,3,2,1,2,2,3,2,2,1,1,5,4,1,2,3,3,2,1,2,2,4,2,1,1,2,1,3,2,2,1,1,5,2,2,3,1,1,3,3,1,1,1,2,1,1,1
119,4,4,3,3,4,3,5,4,2,2,2,3,3,5,3,4,4,5,4,4,2,5,3,3,4,3,4,4,2,4,3,3,2,2,3,3,2,4,5,4,2,2,5,4,2,3,5,3,4,3,4,2,2,3,3,4,4
120,3,2,3,3,4,3,3,3,4,3,4,3,5,4,3,4,2,2,3,4,4,4,3,3,4,3,3,3,3,3,4,4,3,3,4,5,5,4,3,3,4,3,4,4,3,4,4,4,3,3,4,3,4,2,4,4,3
121,4,2,2,2,3,2,1,4,2,1,1,3,3,3,2,2,3,2,2,2,3,3,5,2,2,2,4,2,2,2,2,4,2,1,1,2,1,3,2,3,1,1,3,3,1,2,2,2,1,4,1,2,2,3,2,2,1
122,2,1,1,1,2,1,2,2,2,1,1,3,2,2,1,1,1,1,1,1,1,3,3,1,1,1,2,2,1,2,1,3,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1
123,4,4,3,3,2,3,4,2,4,1,2,4,4,4,2,3,4,3,3,4,4,5,5,4,4,2,3,3,2,2,4,4,2,2,3,4,3,4,3,3,2,2,5,5,2,4,4,2,3,3,2,3,3,4,4,2,2
124,3,1,1,1,3,3,3,2,4,2,3,1,1,1,2,2,1,1,4,1,2,1,3,1,3,2,3,3,1,4,1,4,1,3,5,3,1,1,3,3,2,3,2,1,2,1,3,1,1,1,3,2,1,1,1,2,2
125,4,3,2,3,3,3,2,4,2,3,4,4,2,2,3,2,3,3,3,2,2,4,4,2,2,1,4,3,1,3,2,4,4,3,1,2,2,3,2,4,3,4,4,3,1,4,3,3,2,2,4,2,3,2,3,4,2
126,3,4,2,3,3,3,3,3,3,4,4,3,3,4,3,3,3,2,3,2,4,3,4,2,3,2,4,2,3,4,2,4,3,4,2,3,3,3,2,3,4,3,4,2,3,3,2,4,3,2,3,2,4,2,2,3,2
127,3,2,2,4,2,1,2,2,2,3,1,2,2,4,1,1,3,2,3,2,3,3,3,1,1,1,4,2,2,3,1,4,1,1,2,1,1,4,4,3,2,1,4,1,1,1,3,1,2,3,1,1,4,2,3,1,3
128,3,2,3,3,2,1,1,2,3,1,2,1,2,1,1,3,2,1,2,2,1,2,2,1,3,2,3,2,3,2,1,1,1,1,2,2,2,2,1,1,1,1,3,2,1,1,1,1,1,3,3,1,2,3,2,3,2
129,3,3,2,2,3,3,2,2,4,4,2,3,3,3,3,2,1,1,3,2,4,3,1,1,2,3,1,2,2,3,1,2,2,1,2,2,2,1,3,1,2,1,2,2,1,1,1,2,3,1,2,2,3,1,2,1,3
130,2,5,4,3,3,3,2,2,4,4,4,4,3,3,4,2,3,3,2,4,4,3,3,2,2,3,3,4,3,3,4,4,3,3,4,5,3,2,4,4,2,3,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4
131,2,2,1,2,2,1,2,1,1,3,1,1,3,3,1,2,2,1,3,2,1,3,3,1,1,1,3,2,1,1,1,3,2,1,2,3,1,2,2,1,3,2,2,2,1,2,2,3,1,2,1,1,4,2,2,2,1
132,4,2,2,3,3,3,3,3,4,3,4,3,3,3,3,4,3,4,4,3,3,3,3,2,4,3,3,4,3,3,3,4,3,4,3,4,4,3,4,4,3,4,4,4,2,2,4,3,4,4,4,3,3,3,3,5,3
133,2,2,2,3,1,3,1,1,3,1,1,3,2,1,2,3,1,1,3,2,1,1,1,1,3,2,3,2,2,3,1,1,1,1,1,3,1,2,2,1,2,1,1,1,3,1,2,1,1,2,1,2,1,2,2,1,1
