ID,BIS11_1,BIS11_2,BIS11_3,BIS11_4,BIS11_5,BIS11_6,BIS11_7,BIS11_8,BIS11_9,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
298,2,2,2,2,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,3,1,2,2,2,1,3,2,2,2,3
299,3,2,3,1,2,4,2,3,4,2,1,3,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,3,3
300,3,2,1,2,2,2,2,3,3,3,2,3,2,2,2,2,1,2,2,3,1,2,2,1,1,2,2,2,3,3
301,2,3,4,2,1,4,1,4,3,3,3,2,4,3,4,1,4,1,4,2,3,1,1,3,1,4,3,3,4,4
302,4,1,2,2,1,1,4,4,3,3,1,4,4,1,2,1,1,2,1,4,1,2,2,1,1,2,1,2,1,4
303,4,1,3,2,1,4,4,4,4,4,2,3,4,1,4,1,2,1,2,4,2,2,1,1,2,3,1,2,4,3
304,3,2,3,1,2,3,3,3,3,2,2,3,4,2,3,1,2,2,2,3,1,3,1,2,4,3,2,2,1,4
305,2,3,3,1,2,3,2,4,3,3,1,2,4,2,3,3,3,3,4,2,2,1,4,2,3,2,1,2,2,4
306,3,1,3,3,1,2,4,4,2,3,3,3,4,1,2,2,1,1,1,4,1,2,2,2,1,2,2,2,3,4
307,3,2,3,2,1,1,4,3,3,3,1,3,2,2,1,3,1,1,1,3,1,3,2,2,1,1,2,1,2,3
308,4,2,2,2,1,3,4,3,3,4,2,3,4,2,3,2,2,1,2,3,1,2,2,2,1,2,2,1,4,4
309,2,2,2,1,2,2,2,3,2,2,2,3,3,1,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,4
310,4,1,3,4,1,1,4,4,3,4,2,4,4,2,4,1,1,2,2,4,1,2,1,1,1,1,2,2,4,4
311,3,2,2,2,2,2,3,3,2,4,2,3,3,2,2,2,2,2,2,3,1,1,3,2,1,2,2,2,3,2
312,4,1,2,3,2,4,4,4,3,4,1,4,4,1,4,1,1,1,2,4,1,2,1,1,2,2,2,1,4,4
313,4,1,2,2,1,2,3,4,3,4,1,3,4,1,2,1,2,1,3,4,1,3,2,1,1,3,2,1,3,4
314,4,2,2,2,1,1,4,4,4,3,1,4,4,1,4,1,1,1,2,4,1,1,1,2,3,1,2,1,4,3
315,3,1,1,3,1,1,1,4,4,4,1,2,4,1,1,1,1,1,1,4,1,1,3,1,2,1,2,1,4,3
316,1,2,4,3,3,4,2,2,3,2,2,1,2,4,3,2,3,2,3,3,3,2,2,2,2,3,2,3,3,2
317,3,1,2,2,1,2,3,4,4,3,1,3,3,2,3,2,1,1,1,3,2,1,1,1,2,2,2,1,3,3
318,2,2,2,3,2,1,2,4,2,2,2,3,2,3,1,2,2,2,3,4,2,2,1,2,2,2,3,2,2,3
319,3,2,3,1,1,1,3,4,4,4,1,4,2,1,1,2,1,2,2,4,1,1,1,1,2,2,3,1,3,4
320,3,3,3,2,3,4,2,3,2,3,3,3,2,1,4,2,3,2,2,3,1,2,3,1,2,4,2,3,2,3
321,3,2,1,2,2,3,4,2,3,3,1,3,4,1,1,1,1,3,1,3,2,3,2,1,3,3,2,1,1,4
322,4,1,2,3,2,2,4,4,3,4,1,4,4,1,4,1,1,1,1,4,1,1,3,2,1,1,3,1,4,4
323,4,1,2,2,1,4,4,2,3,3,2,3,4,2,2,2,2,1,2,3,1,1,1,1,1,4,1,2,3,4
324,4,1,1,1,2,4,4,4,3,3,2,4,3,1,3,1,1,2,1,3,1,2,2,2,2,3,2,1,3,4
325,4,1,2,2,1,4,3,4,3,4,1,3,3,2,2,3,2,3,2,4,2,3,2,2,1,3,2,1,1,3
326,4,2,1,1,3,4,4,3,1,3,3,3,3,3,1,2,3,2,3,3,1,3,1,2,2,4,1,2,2,4
327,3,2,3,1,1,1,3,4,4,3,2,3,3,1,3,3,2,2,2,3,1,2,3,2,3,2,3,2,1,4
328,2,2,2,2,2,2,3,3,3,1,2,2,1,2,2,3,2,2,2,2,1,3,2,1,4,2,3,2,2,2
329,3,1,2,2,2,1,4,4,4,4,1,4,3,1,3,1,1,1,1,4,1,1,1,1,2,1,2,1,4,4
330,4,2,2,1,1,3,3,3,3,3,2,3,2,2,3,3,2,1,2,3,1,2,2,2,2,2,2,2,4,3
331,3,1,2,1,1,3,4,4,2,4,2,4,4,1,2,1,1,3,1,4,2,1,2,1,1,3,1,2,2,4
332,2,1,1,1,3,2,3,3,2,3,3,3,2,1,1,2,1,4,1,2,1,1,2,2,2,2,2,3,1,4
333,4,2,1,3,1,3,3,3,2,2,2,4,4,1,2,1,1,1,2,3,1,1,3,1,3,2,2,2,3,3
334,2,3,2,3,2,1,3,3,3,3,2,2,3,2,1,1,2,3,2,3,1,1,1,3,1,2,2,3,2,2
335,3,2,3,2,1,1,4,3,3,3,2,3,3,1,1,1,1,2,1,2,1,1,2,1,1,4,2,2,2,3
336,3,2,3,2,2,4,4,4,3,2,1,2,4,2,2,1,2,2,2,3,3,3,2,2,3,3,2,1,1,4
337,4,1,4,3,1,2,3,4,4,4,1,4,4,1,2,1,1,1,1,1,1,2,1,1,1,3,2,1,4,4
338,3,2,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,1,3,2,2,2,3,3,2,2,2
339,1,1,2,1,2,1,1,2,2,2,1,2,3,2,2,1,1,1,2,2,1,1,3,1,3,3,2,2,3,4
340,2,3,2,1,1,3,2,4,4,1,1,3,3,2,3,1,2,2,2,3,1,4,1,1,4,3,2,1,2,2
341,2,1,2,1,2,2,2,3,2,2,4,2,3,1,1,1,2,2,2,3,3,2,2,1,2,2,2,4,2,4
342,2,3,3,1,2,3,2,3,3,1,2,4,3,2,3,1,2,2,2,3,2,1,1,1,2,3,1,2,2,3
343,3,2,2,2,1,2,1,3,2,2,1,2,4,2,1,2,2,3,2,2,1,2,3,3,2,2,4,2,2,1
344,1,1,2,2,1,2,3,4,3,3,2,2,2,1,2,2,1,2,1,3,1,2,1,1,1,2,2,1,3,4
345,3,2,3,2,2,1,3,3,3,3,1,3,2,1,1,2,2,3,1,3,1,3,3,2,1,2,2,1,2,3
346,3,2,4,3,1,2,4,4,4,4,2,3,3,2,3,2,1,2,2,3,1,1,2,2,3,2,3,2,4,3
347,3,2,1,1,3,4,3,2,2,4,2,4,3,1,3,1,2,2,1,2,1,2,1,2,2,3,1,3,3,4
348,3,2,2,2,1,3,3,4,3,3,1,3,2,2,3,4,2,2,2,2,1,1,1,1,2,2,2,2,4,3
349,3,3,4,2,2,2,3,3,1,2,1,2,3,3,1,1,3,4,3,2,1,2,1,1,2,4,3,1,1,2
350,3,2,2,3,3,2,3,3,3,3,1,3,3,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,3
351,2,3,3,3,2,3,1,2,3,2,1,2,2,2,4,3,2,1,2,3,2,3,1,3,3,3,2,1,4,3
352,3,1,2,1,1,4,4,3,4,4,1,3,4,1,2,2,2,3,2,3,3,3,3,2,4,2,2,1,2,4
353,3,1,2,1,2,1,4,3,3,4,2,4,4,2,3,3,2,2,2,3,1,2,2,2,1,2,1,2,3,4
