"ID","group","site","normChangeBehav","Cluster"
"51","Moderate training","Caltech1",0.233570322319051,"Outcome-insensitive"
"52","Moderate training","Caltech1",0.126631805280118,"Outcome-insensitive"
"53","Moderate training","Caltech1",0.127164801146721,"Outcome-insensitive"
"54","Moderate training","Caltech1",0.84481618493242,"Outcome-sensitive"
"55","Moderate training","Caltech1",-0.337245759523571,"Outcome-insensitive"
"56","Moderate training","Caltech1",0.270445426226702,"Outcome-insensitive"
"57","Moderate training","Caltech1",-0.404372833518537,"Outcome-insensitive"
"58","Moderate training","Caltech1",1.55174766364318,"Outcome-sensitive"
"59","Moderate training","Caltech1",-0.358415904532096,"Outcome-insensitive"
"60","Moderate training","Caltech1",0.206196019867508,"Outcome-insensitive"
"61","Moderate training","Caltech1",-0.0363366785415561,"Outcome-insensitive"
"62","Moderate training","Caltech1",-0.151133992993098,"Outcome-insensitive"
"63","Moderate training","Caltech1",0.193674031005781,"Outcome-insensitive"
"64","Moderate training","Caltech1",-0.00334086975438452,"Outcome-insensitive"
"65","Moderate training","Caltech1",-0.405065662333008,"Outcome-insensitive"
"66","Moderate training","Caltech1",2.68229576736801,"Outcome-sensitive"
"67","Moderate training","Caltech1",0.195617462762632,"Outcome-insensitive"
"68","Moderate training","Caltech1",0.639244996802132,"Outcome-sensitive"
"69","Moderate training","Caltech1",-0.0966603099740326,"Outcome-insensitive"
"70","Moderate training","Caltech1",0.0408928512651243,"Outcome-insensitive"
"71","Moderate training","Caltech1",3.34795288362812,"Outcome-sensitive"
"72","Moderate training","Caltech1",0.0957378709167355,"Outcome-insensitive"
"73","Moderate training","Caltech1",-0.169932968629639,"Outcome-insensitive"
"74","Moderate training","Caltech1",0.382065159007766,"Outcome-insensitive"
"75","Moderate training","Caltech1",-0.0586792334732954,"Outcome-insensitive"
"76","Moderate training","Caltech1",-0.305217174937975,"Outcome-insensitive"
"77","Moderate training","Caltech1",0.337297487845985,"Outcome-insensitive"
"78","Moderate training","Caltech1",1.49444130379549,"Outcome-sensitive"
"79","Moderate training","Caltech1",0.189449386811681,"Outcome-insensitive"
"80","Moderate training","Caltech1",1.1646298699956,"Outcome-sensitive"
"81","Moderate training","Caltech1",0.0240126196157794,"Outcome-insensitive"
"82","Extensive training","Caltech1",-0.451068725612086,"Outcome-insensitive"
"83","Extensive training","Caltech1",0.255836946523078,"Outcome-insensitive"
"84","Extensive training","Caltech1",0.102161561122469,"Outcome-insensitive"
"85","Extensive training","Caltech1",0.287660871883952,"Outcome-insensitive"
"86","Extensive training","Caltech1",0.0937841560169079,"Outcome-insensitive"
"87","Extensive training","Caltech1",-0.0142216689975343,"Outcome-insensitive"
"88","Extensive training","Caltech1",1.07037435938433,"Outcome-sensitive"
"89","Extensive training","Caltech1",-0.09487745977785,"Outcome-insensitive"
"90","Extensive training","Caltech1",0.456846724930741,"Outcome-insensitive"
"91","Extensive training","Caltech1",0.76608219017614,"Outcome-sensitive"
"92","Extensive training","Caltech1",0.0554393030503364,"Outcome-insensitive"
"93","Extensive training","Caltech1",0.16505555051958,"Outcome-insensitive"
"94","Extensive training","Caltech1",-0.427508885121197,"Outcome-insensitive"
"95","Extensive training","Caltech1",0.0966977406144556,"Outcome-insensitive"
"96","Extensive training","Caltech1",-0.338310138859961,"Outcome-insensitive"
"97","Extensive training","Caltech1",-0.0953623305353416,"Outcome-insensitive"
"98","Extensive training","Caltech1",-0.0700945916207782,"Outcome-insensitive"
"99","Extensive training","Caltech1",0.196666425611077,"Outcome-insensitive"
"100","Extensive training","Caltech1",0.158965297394649,"Outcome-insensitive"
"101","Extensive training","Caltech1",-0.116815434732441,"Outcome-insensitive"
"102","Extensive training","Caltech1",0.242059591567138,"Outcome-insensitive"
"103","Extensive training","Caltech1",-0.0754115523941037,"Outcome-insensitive"
"104","Extensive training","Caltech1",0.353519647704106,"Outcome-insensitive"
"105","Extensive training","Caltech1",0.162810041154738,"Outcome-insensitive"
"106","Extensive training","Caltech1",-0.0085912780263816,"Outcome-insensitive"
"107","Extensive training","Caltech1",0.346927705535694,"Outcome-insensitive"
"108","Extensive training","Caltech1",0.0889575777657085,"Outcome-insensitive"
"109","Extensive training","Caltech1",3.0993836331347,"Outcome-sensitive"
"110","Extensive training","Caltech1",-0.155922145195642,"Outcome-insensitive"
"111","Extensive training","Caltech1",0.113166564279714,"Outcome-insensitive"
"112","Extensive training","Caltech1",0.513520827789343,"Outcome-sensitive"
"178","Moderate training","Caltech2",0.107051969634144,"Outcome-insensitive"
"179","Moderate training","Caltech2",0.693815531402697,"Outcome-sensitive"
"180","Moderate training","Caltech2",0.417077014876665,"Outcome-insensitive"
"181","Moderate training","Caltech2",0.427679096699049,"Outcome-insensitive"
"182","Moderate training","Caltech2",0.984171962629513,"Outcome-sensitive"
"183","Moderate training","Caltech2",0.181982829671931,"Outcome-insensitive"
"184","Moderate training","Caltech2",0.28076094983787,"Outcome-insensitive"
"185","Moderate training","Caltech2",0.0207803655866248,"Outcome-insensitive"
"186","Moderate training","Caltech2",1.61625772942842,"Outcome-sensitive"
"187","Moderate training","Caltech2",0.510423317270736,"Outcome-sensitive"
"188","Moderate training","Caltech2",0.679002761243324,"Outcome-sensitive"
"189","Moderate training","Caltech2",-0.71338729324947,"Outcome-sensitive"
"190","Moderate training","Caltech2",0.191750068646851,"Outcome-insensitive"
"191","Moderate training","Caltech2",-0.153893125941179,"Outcome-insensitive"
"192","Moderate training","Caltech2",1.91888446804578,"Outcome-sensitive"
"193","Moderate training","Caltech2",-0.167854927905371,"Outcome-insensitive"
"194","Moderate training","Caltech2",0.410829870786854,"Outcome-insensitive"
"195","Moderate training","Caltech2",1.07425837253658,"Outcome-sensitive"
"196","Moderate training","Caltech2",0.0739831576133789,"Outcome-insensitive"
"197","Moderate training","Caltech2",-0.210808519106228,"Outcome-insensitive"
"198","Moderate training","Caltech2",0.00293909898065398,"Outcome-insensitive"
"199","Moderate training","Caltech2",-0.340326107232447,"Outcome-insensitive"
"200","Moderate training","Caltech2",-0.132588896270511,"Outcome-insensitive"
"201","Moderate training","Caltech2",0.101546875175954,"Outcome-insensitive"
"202","Moderate training","Caltech2",0.309944216262266,"Outcome-insensitive"
"203","Moderate training","Caltech2",0.562553764122917,"Outcome-sensitive"
"204","Moderate training","Caltech2",0.43822889468735,"Outcome-insensitive"
"205","Moderate training","Caltech2",0.117984264773911,"Outcome-insensitive"
"206","Moderate training","Caltech2",0.795926839429588,"Outcome-sensitive"
"207","Moderate training","Caltech2",-0.026902171331179,"Outcome-insensitive"
"208","Extensive training","Caltech2",0.0407038232189036,"Outcome-insensitive"
"209","Extensive training","Caltech2",0.0827790551433366,"Outcome-insensitive"
"210","Extensive training","Caltech2",1.63948310387327,"Outcome-sensitive"
"211","Extensive training","Caltech2",0.643575716994082,"Outcome-sensitive"
"212","Extensive training","Caltech2",-0.169575867538366,"Outcome-insensitive"
"213","Extensive training","Caltech2",0.363660843345315,"Outcome-insensitive"
"214","Extensive training","Caltech2",-0.198582058292762,"Outcome-insensitive"
"215","Extensive training","Caltech2",-0.0246263503022417,"Outcome-insensitive"
"216","Extensive training","Caltech2",-0.179321383182385,"Outcome-insensitive"
"217","Extensive training","Caltech2",0.393894958356615,"Outcome-insensitive"
"218","Extensive training","Caltech2",-0.0216218363132941,"Outcome-insensitive"
"219","Extensive training","Caltech2",0.117354159440671,"Outcome-insensitive"
"220","Extensive training","Caltech2",-0.827109657276385,"Outcome-sensitive"
"221","Extensive training","Caltech2",-0.0150976111585616,"Outcome-insensitive"
"222","Extensive training","Caltech2",-0.316516697028758,"Outcome-insensitive"
"223","Extensive training","Caltech2",0.256369939081097,"Outcome-insensitive"
"224","Extensive training","Caltech2",0.213114514012054,"Outcome-insensitive"
"225","Extensive training","Caltech2",1.1826575196655,"Outcome-sensitive"
"226","Extensive training","Caltech2",-0.160733533325907,"Outcome-insensitive"
"227","Extensive training","Caltech2",0.913791270818566,"Outcome-sensitive"
"228","Extensive training","Caltech2",0.0443098226443992,"Outcome-insensitive"
"229","Extensive training","Caltech2",0.327600903076856,"Outcome-insensitive"
"230","Extensive training","Caltech2",0.309598183659009,"Outcome-insensitive"
"231","Extensive training","Caltech2",-0.197806314034877,"Outcome-insensitive"
"232","Extensive training","Caltech2",0.475014579423196,"Outcome-sensitive"
"233","Extensive training","Caltech2",0.341147615418177,"Outcome-insensitive"
"235","Extensive training","Caltech2",-0.0828479917315597,"Outcome-insensitive"
"236","Extensive training","Caltech2",0.00680503793159853,"Outcome-insensitive"
"237","Extensive training","Caltech2",0.0439514769698146,"Outcome-insensitive"
"113","Moderate training","Hamburg",0.0555651228655362,"Outcome-insensitive"
"114","Moderate training","Hamburg",1.54656791649246,"Outcome-sensitive"
"115","Moderate training","Hamburg",0.0882759945254207,"Outcome-insensitive"
"116","Moderate training","Hamburg",1.68138915116401,"Outcome-sensitive"
"118","Moderate training","Hamburg",1.08830505476853,"Outcome-sensitive"
"119","Moderate training","Hamburg",-0.00397545300255897,"Outcome-insensitive"
"120","Moderate training","Hamburg",0.226545974442191,"Outcome-insensitive"
"121","Moderate training","Hamburg",1.71276404118409,"Outcome-sensitive"
"122","Moderate training","Hamburg",2.13155764654232,"Outcome-sensitive"
"123","Moderate training","Hamburg",0.143688061427345,"Outcome-insensitive"
"125","Moderate training","Hamburg",0.0553950356834246,"Outcome-insensitive"
"126","Moderate training","Hamburg",1.794207548553,"Outcome-sensitive"
"127","Moderate training","Hamburg",2.3329759481123,"Outcome-sensitive"
"128","Moderate training","Hamburg",0.100617615860652,"Outcome-insensitive"
"129","Moderate training","Hamburg",-0.272410901860329,"Outcome-insensitive"
"130","Moderate training","Hamburg",-0.082936139018439,"Outcome-insensitive"
"137","Moderate training","Hamburg",0.0693990278458267,"Outcome-insensitive"
"142","Moderate training","Hamburg",1.39858854751035,"Outcome-sensitive"
"143","Moderate training","Hamburg",0.248276915236477,"Outcome-insensitive"
"144","Moderate training","Hamburg",0.551802329276403,"Outcome-sensitive"
"147","Moderate training","Hamburg",0.000508506523818397,"Outcome-insensitive"
"148","Moderate training","Hamburg",-0.115315119420366,"Outcome-insensitive"
"150","Moderate training","Hamburg",-0.270190591375143,"Outcome-insensitive"
"151","Moderate training","Hamburg",0.0404315187109248,"Outcome-insensitive"
"152","Moderate training","Hamburg",-0.0444896707744612,"Outcome-insensitive"
"153","Moderate training","Hamburg",-0.0580121942599181,"Outcome-insensitive"
"156","Moderate training","Hamburg",0.188860222957726,"Outcome-insensitive"
"157","Moderate training","Hamburg",-0.359260276083109,"Outcome-insensitive"
"117","Extensive training","Hamburg",-0.0360588126118611,"Outcome-insensitive"
"124","Extensive training","Hamburg",-0.152780801581475,"Outcome-insensitive"
"131","Extensive training","Hamburg",-0.450480154376704,"Outcome-insensitive"
"132","Extensive training","Hamburg",-0.279745931464139,"Outcome-insensitive"
