sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
1001,short,2,21,,,10,10,4,0,0,
1001,short,7,33,red,devaluation,10,0,10,0,0,10.0
1002,short,2,21,,,10,10,3,0,0,
1002,short,7,33,red,devaluation,10,0,10,0,0,10.0
1003,short,2,21,,,10,10,0,0,0,
1003,short,7,33,red,devaluation,10,10,0,0,1,0.0
1004,short,2,21,,,10,10,0,0,0,
1004,short,7,33,blue,devaluation,0,10,10,0,0,10.0
1005,short,2,21,,,10,10,0,0,0,
1005,short,7,33,red,devaluation,10,0,0,0,0,10.0
1006,short,2,21,,,5,6,7,0,1,
1006,short,7,33,blue,devaluation,1,10,5,0,0,9.0
1007,short,2,21,,,9,10,3,0,1,
1007,short,7,33,blue,devaluation,1,10,10,0,0,9.0
1008,short,2,21,,,3,7,0,0,0,
1008,short,7,33,red,devaluation,10,0,0,0,0,10.0
1009,short,2,21,,,8,10,0,0,0,
1009,short,7,33,blue,devaluation,0,10,3,0,0,10.0
1010,short,2,21,,,10,10,2,0,0,
1010,short,7,33,red,devaluation,10,0,2,0,0,10.0
1011,short,2,21,,,7,5,3,0,0,
1011,short,7,33,red,devaluation,10,0,4,0,0,10.0
1012,short,2,21,,,9,7,4,0,1,
1012,short,7,33,blue,devaluation,0,10,9,0,0,10.0
1013,short,2,21,,,9,8,0,0,0,
1013,short,7,33,blue,devaluation,0,10,6,0,0,10.0
1014,short,2,21,,,8,6,2,0,0,
1014,short,7,33,blue,devaluation,0,10,0,0,0,10.0
1015,short,2,21,,,7,5,10,0,0,
1015,short,7,33,red,devaluation,10,0,10,0,0,10.0
1016,short,2,21,,,9,10,1,0,0,
1016,short,7,33,blue,devaluation,0,10,6,0,1,10.0
1017,short,2,21,,,6,7,0,0,0,
1017,short,7,33,blue,devaluation,0,10,2,0,0,10.0
1018,short,2,21,,,10,10,2,0,0,
1018,short,7,33,red,devaluation,10,0,10,0,0,10.0
1019,short,2,21,,,10,10,7,0,1,
1019,short,7,33,blue,devaluation,0,10,7,0,0,10.0
1020,short,2,21,,,7,9,0,0,0,
1020,short,7,33,red,devaluation,10,0,3,0,1,10.0
1021,short,2,21,,,10,10,0,0,0,
1021,short,7,33,blue,devaluation,0,10,0,0,0,10.0
1022,short,2,21,,,3,4,1,1,0,
1022,short,7,33,red,devaluation,4,1,5,0,0,3.0
1023,short,2,21,,,1,3,2,0,0,
1023,short,7,33,blue,devaluation,0,5,4,0,0,5.0
1024,short,2,21,,,10,9,5,0,0,
1024,short,7,33,red,devaluation,9,0,0,0,2,9.0
1025,short,2,21,,,5,7,0,0,0,
1025,short,7,33,red,devaluation,8,0,0,0,1,8.0
1026,short,2,21,,,8,10,1,0,0,
1026,short,7,33,red,devaluation,10,0,5,0,0,10.0
1027,short,2,21,,,7,5,2,0,0,
1027,short,7,33,red,devaluation,10,0,5,0,0,10.0
1028,short,2,21,,,10,10,7,0,1,
1028,short,7,33,red,devaluation,10,0,0,0,0,10.0
1029,short,2,21,,,10,10,10,0,0,
1029,short,7,33,red,devaluation,10,0,7,0,0,10.0
1030,short,2,21,,,10,10,4,0,0,
1030,short,7,33,blue,devaluation,0,10,0,0,0,10.0
1031,short,2,21,,,10,9,0,0,0,
1031,short,7,33,red,devaluation,10,0,0,0,0,10.0
1032,short,2,21,,,8,8,0,0,0,
1032,short,7,33,blue,devaluation,0,10,2,0,1,10.0
1033,short,2,21,,,4,6,0,0,0,
1033,short,7,33,red,devaluation,10,0,1,0,1,10.0
1034,short,2,21,,,7,10,0,0,0,
1034,short,7,33,red,devaluation,10,0,5,0,0,10.0
1035,short,2,21,,,10,10,10,0,0,
