sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
5001,extensive,2,21,,,4,6,5,0,0,
5001,extensive,11,33,blue,devaluation,0,10,5,0,0,10.0
5002,extensive,2,21,,,10,10,0,0,0,
5002,extensive,11,33,red,devaluation,10,0,0,0,1,10.0
5003,extensive,2,21,,,4,4,2,0,1,
5003,extensive,11,33,blue,devaluation,0,10,4,0,0,10.0
5004,extensive,2,21,,,5,5,4,0,0,
5004,extensive,11,33,blue,devaluation,0,9,3,0,1,9.0
5005,extensive,2,21,,,4,6,4,0,0,
5005,extensive,11,33,red,devaluation,10,0,1,0,1,10.0
5006,extensive,2,21,,,3,1,2,2,0,
5006,extensive,11,33,blue,devaluation,2,6,2,0,0,4.0
5007,extensive,2,21,,,4,10,0,0,0,
5007,extensive,11,33,blue,devaluation,0,10,3,0,0,10.0
5008,extensive,2,21,,,5,6,3,0,0,
5008,extensive,11,33,blue,devaluation,0,10,4,0,0,10.0
5009,extensive,2,21,,,10,8,0,0,1,
5009,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5010,extensive,2,21,,,10,8,0,0,0,
5010,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5011,extensive,2,21,,,0,5,4,0,0,
5011,extensive,11,33,red,devaluation,2,0,6,0,0,2.0
5012,extensive,2,21,,,10,10,10,0,2,
5012,extensive,11,33,blue,devaluation,2,10,10,0,4,8.0
5013,extensive,2,21,,,6,5,0,0,0,
5013,extensive,11,33,blue,devaluation,0,10,1,0,0,10.0
5014,extensive,2,21,,,6,10,1,0,0,
5014,extensive,11,33,red,devaluation,10,0,5,0,0,10.0
5015,extensive,2,21,,,6,4,4,0,1,
5015,extensive,11,33,blue,devaluation,1,8,7,0,3,7.0
5016,extensive,2,21,,,10,3,2,0,0,
5016,extensive,11,33,red,devaluation,10,0,2,0,0,10.0
5017,extensive,2,21,,,10,10,10,0,3,
5017,extensive,11,33,blue,devaluation,0,10,10,0,0,10.0
5018,extensive,2,21,,,5,8,1,0,1,
5018,extensive,11,33,blue,devaluation,0,10,6,0,3,10.0
5019,extensive,2,21,,,10,10,1,0,1,
5019,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5020,extensive,2,21,,,2,6,8,0,1,
5020,extensive,11,33,blue,devaluation,0,10,8,0,0,10.0
5021,extensive,2,21,,,8,0,0,0,0,
5021,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5022,extensive,2,21,,,4,7,8,0,0,
5022,extensive,11,33,red,devaluation,6,0,9,0,0,6.0
5023,extensive,2,21,,,2,1,1,0,0,
5023,extensive,11,33,blue,devaluation,0,2,3,0,0,2.0
5024,extensive,2,21,,,6,8,2,0,2,
5024,extensive,11,33,blue,devaluation,1,9,7,0,0,8.0
5025,extensive,2,21,,,7,10,0,0,0,
5025,extensive,11,33,red,devaluation,10,0,5,0,0,10.0
5026,extensive,2,21,,,4,6,8,0,2,
5026,extensive,11,33,blue,devaluation,0,10,6,0,1,10.0
5027,extensive,2,21,,,4,6,6,0,0,
5027,extensive,11,33,red,devaluation,10,0,10,0,1,10.0
5028,extensive,2,21,,,5,7,0,0,0,
5028,extensive,11,33,blue,devaluation,0,9,3,0,2,9.0
5029,extensive,2,21,,,10,10,10,0,0,
5029,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5030,extensive,2,21,,,5,5,0,0,0,
5030,extensive,11,33,blue,devaluation,0,10,5,0,0,10.0
5031,extensive,2,21,,,10,7,8,0,0,
5031,extensive,11,33,red,devaluation,9,0,8,3,1,9.0
5032,extensive,2,21,,,4,3,1,0,0,
5032,extensive,11,33,red,devaluation,5,1,2,0,1,4.0
5033,extensive,2,21,,,0,0,0,0,0,
5033,extensive,11,33,red,devaluation,1,0,0,0,0,1.0
5034,extensive,2,21,,,10,10,10,0,1,
5034,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5035,extensive,2,21,,,5,1,1,0,0,
5035,extensive,11,33,red,devaluation,4,1,0,0,0,3.0
5036,extensive,2,21,,,1,6,1,0,0,
5036,extensive,11,33,blue,devaluation,0,6,3,0,0,6.0
5037,extensive,2,21,,,10,10,10,0,2,
5037,extensive,11,33,red,devaluation,10,0,10,0,0,10.0
5038,extensive,2,21,,,6,6,7,0,0,
5038,extensive,11,33,blue,devaluation,0,7,10,0,0,7.0
5039,extensive,2,21,,,7,7,0,0,0,
