"","group","sub","phase","stim_condition","non_manip_minus_manip","sequenceCompleted","time"
"0","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"1","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"2","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"3","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"4","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"5","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"6","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"7","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"8","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"9","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"10","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"11","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"12","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"13","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"14","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"15","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"16","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"17","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"18","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"19","short",1001,"pre_test","devalued",0.311197428573105,1,"before"
"20","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"21","short",1001,"pre_test","still_valued",0.311197428573105,1,"before"
"22","short",1001,"test","still_valued",0.311197428573105,1,"after"
"23","short",1001,"test","devalued",0.311197428573105,0,"after"
"24","short",1001,"test","still_valued",0.311197428573105,1,"after"
"25","short",1001,"test","still_valued",0.311197428573105,1,"after"
"26","short",1001,"test","still_valued",0.311197428573105,1,"after"
"27","short",1001,"test","devalued",0.311197428573105,0,"after"
"28","short",1001,"test","still_valued",0.311197428573105,1,"after"
"29","short",1001,"test","still_valued",0.311197428573105,1,"after"
"30","short",1001,"test","devalued",0.311197428573105,0,"after"
"31","short",1001,"test","devalued",0.311197428573105,0,"after"
"32","short",1001,"test","still_valued",0.311197428573105,1,"after"
"33","short",1001,"test","devalued",0.311197428573105,0,"after"
"34","short",1001,"test","devalued",0.311197428573105,0,"after"
"35","short",1001,"test","still_valued",0.311197428573105,1,"after"
"36","short",1001,"test","still_valued",0.311197428573105,1,"after"
"37","short",1001,"test","devalued",0.311197428573105,0,"after"
"38","short",1001,"test","still_valued",0.311197428573105,1,"after"
"39","short",1001,"test","devalued",0.311197428573105,0,"after"
"40","short",1001,"test","devalued",0.311197428573105,0,"after"
"41","short",1001,"test","still_valued",0.311197428573105,1,"after"
"42","short",1001,"test","devalued",0.311197428573105,0,"after"
"43","short",1001,"test","devalued",0.311197428573105,0,"after"
"44","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"45","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"46","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"47","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"48","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"49","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"50","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"51","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"52","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"53","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"54","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"55","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"56","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"57","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"58","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"59","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"60","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"61","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"62","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
"63","short",1001,"reacquisition","still_valued",0.311197428573105,1,"after"
"64","short",1001,"reacquisition","devalued",0.311197428573105,1,"after"
